model,data_preprocessing_methods_outlier,data_preprocessing_methods_encode,data_preprocessing_methods_scale,data_preprocessing_methods_correlation,data_preprocessing_methods_pca,data_preprocessing_methods_select_corr,valid_accuracy,valid_precision,valid_recall,valid_f1_score,valid_roc_auc,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc
FCNN,,label,minmax,True,True,False,0.7043756670224119,0.2713754646840148,0.474025974025974,0.3451536643026004,,0.6897654584221748,0.2150943396226415,0.4071428571428571,0.2814814814814815,
FCNN,,label,minmax,True,False,True,0.8633938100320171,0.7096774193548387,0.2857142857142857,0.4074074074074074,,0.8773987206823027,0.7192982456140351,0.2928571428571428,0.416243654822335,
FCNN,,label,minmax,True,False,False,0.6574172892209178,0.2477341389728096,0.5324675324675324,0.3381443298969072,,0.6289978678038379,0.1904761904761904,0.4571428571428571,0.2689075630252101,
FCNN,,label,minmax,False,True,False,0.7043756670224119,0.2713754646840148,0.474025974025974,0.3451536643026004,,0.6897654584221748,0.2150943396226415,0.4071428571428571,0.2814814814814815,
FCNN,,label,minmax,False,False,True,0.8633938100320171,0.7096774193548387,0.2857142857142857,0.4074074074074074,,0.8773987206823027,0.7192982456140351,0.2928571428571428,0.416243654822335,
FCNN,,label,minmax,False,False,False,0.6616862326574173,0.2476780185758514,0.5194805194805194,0.3354297693920335,,0.6353944562899787,0.1920731707317073,0.45,0.2692307692307692,
FCNN,,label,standard,True,True,False,0.7033084311632871,0.2703703703703703,0.474025974025974,0.3443396226415094,,0.6886993603411514,0.2121212121212121,0.4,0.2772277227722772,
FCNN,,label,standard,True,False,True,0.7748132337246532,0.421917808219178,1.0,0.5934489402697495,,0.7622601279317697,0.3856749311294766,1.0,0.5566600397614314,
FCNN,,label,standard,True,False,False,0.6606189967982924,0.2469135802469135,0.5194805194805194,0.3347280334728033,,0.6332622601279317,0.1909090909090909,0.45,0.2680851063829787,
FCNN,,label,standard,False,True,False,0.7054429028815368,0.2723880597014925,0.474025974025974,0.3459715639810427,,0.6897654584221748,0.2150943396226415,0.4071428571428571,0.2814814814814815,
FCNN,,label,standard,False,False,True,0.7748132337246532,0.421917808219178,1.0,0.5934489402697495,,0.7622601279317697,0.3856749311294766,1.0,0.5566600397614314,
FCNN,,label,standard,False,False,False,0.6627534685165422,0.2484472049689441,0.5194805194805194,0.3361344537815126,,0.6353944562899787,0.1920731707317073,0.45,0.2692307692307692,
FCNN,,feature-extraction,minmax,True,False,True,0.8633938100320171,0.7096774193548387,0.2857142857142857,0.4074074074074074,,0.8773987206823027,0.7192982456140351,0.2928571428571428,0.416243654822335,
